STATE_CODE,YEAR,annual_rainfall_mean,flood_rate,flood_records,district_records,flood_rate_percent
105,2003,2435.95,0.0,0,2,0.0
105,2004,2260.815,0.5,1,2,50.0
105,2005,2176.495,0.5,1,2,50.0
105,2006,2750.2250000000004,0.5,1,2,50.0
105,2007,2503.73,1.0,2,2,100.0
105,2008,2693.94,0.5,1,2,50.0
105,2009,2416.285,0.5,1,2,50.0
105,2010,2517.81,0.5,1,2,50.0
106,2000,2542.106666666667,0.0,0,6,0.0
106,2001,2577.8849999999998,0.8333333333333334,5,6,83.33333333333334
106,2002,2046.1816666666666,0.8333333333333334,5,6,83.33333333333334
106,2003,2638.3166666666666,1.0,6,6,100.0
106,2004,2292.023333333333,1.0,6,6,100.0
106,2005,2266.951666666667,0.6666666666666666,4,6,66.66666666666666
106,2006,2448.233333333333,0.0,0,6,0.0
106,2007,2634.5483333333336,0.8333333333333334,5,6,83.33333333333334
106,2008,2746.99,0.6666666666666666,4,6,66.66666666666666
106,2009,2835.508333333333,0.8333333333333334,5,6,83.33333333333334
106,2010,2259.4066666666668,0.8333333333333334,5,6,83.33333333333334
108,2000,2514.4583333333335,0.0,0,6,0.0
108,2001,2135.3683333333333,0.3333333333333333,2,6,33.33333333333333
108,2002,1915.8716666666667,0.6666666666666666,4,6,66.66666666666666
108,2003,2499.898333333333,0.6666666666666666,4,6,66.66666666666666
108,2004,2010.0583333333332,0.8333333333333334,5,6,83.33333333333334
108,2005,2226.5383333333334,0.5,3,6,50.0
108,2006,2242.8833333333337,0.8333333333333334,5,6,83.33333333333334
108,2007,2146.3833333333337,0.5,3,6,50.0
108,2008,2707.5883333333336,0.6666666666666666,4,6,66.66666666666666
108,2009,2723.6383333333333,0.3333333333333333,2,6,33.33333333333333
108,2010,2230.403333333333,0.6666666666666666,4,6,66.66666666666666
109,2000,2615.252857142857,0.0,0,7,0.0
109,2001,2447.035714285714,0.5714285714285714,4,7,57.14285714285714
109,2002,2323.281428571429,0.5714285714285714,4,7,57.14285714285714
109,2003,2559.304285714286,0.5714285714285714,4,7,57.14285714285714
109,2004,2349.0714285714284,0.5714285714285714,4,7,57.14285714285714
109,2005,2220.3728571428574,0.7142857142857143,5,7,71.42857142857143
109,2006,2815.464285714286,0.7142857142857143,5,7,71.42857142857143
109,2007,2507.7371428571428,0.7142857142857143,5,7,71.42857142857143
109,2008,2840.804285714286,0.5714285714285714,4,7,57.14285714285714
109,2009,2619.8557142857144,0.8571428571428571,6,7,85.71428571428571
109,2010,2545.9,0.7142857142857143,5,7,71.42857142857143
111,2000,3103.5157142857142,0.0,0,7,0.0
111,2001,2771.202857142857,0.7142857142857143,5,7,71.42857142857143
111,2002,2325.0457142857144,0.14285714285714285,1,7,14.285714285714285
111,2003,2925.52,1.0,7,7,100.0
111,2004,2669.8228571428576,0.0,0,7,0.0
111,2005,2657.6485714285714,0.0,0,7,0.0
111,2006,2668.4114285714286,0.0,0,7,0.0
111,2007,2647.1585714285716,0.0,0,7,0.0
111,2008,3319.7214285714285,0.42857142857142855,3,7,42.857142857142854
111,2009,3263.7514285714283,0.7142857142857143,5,7,71.42857142857143
111,2010,2601.457142857143,0.5714285714285714,4,7,57.14285714285714
112,2000,2939.572142857143,0.0,0,14,0.0
112,2001,3007.6142857142854,0.2857142857142857,4,14,28.57142857142857
112,2002,2060.4728571428573,0.2857142857142857,4,14,28.57142857142857
112,2003,2509.8585714285714,0.35714285714285715,5,14,35.714285714285715
112,2004,2095.5542857142855,0.2857142857142857,4,14,28.57142857142857
112,2005,3071.996428571428,0.14285714285714285,2,14,14.285714285714285
112,2006,3590.7757142857145,0.6428571428571429,9,14,64.28571428571429
112,2007,2793.7228571428573,0.35714285714285715,5,14,35.714285714285715
112,2008,3117.365714285714,0.21428571428571427,3,14,21.428571428571427
112,2009,2829.0042857142857,0.42857142857142855,6,14,42.857142857142854
112,2010,2764.3214285714284,0.6428571428571429,9,14,64.28571428571429
113,2000,3236.4433333333336,0.0,0,15,0.0
113,2001,3123.1673333333333,0.4,6,15,40.0
113,2002,3008.1053333333334,0.26666666666666666,4,15,26.666666666666668
113,2003,3468.311333333333,0.13333333333333333,2,15,13.333333333333334
113,2004,3227.1806666666666,0.06666666666666667,1,15,6.666666666666667
113,2005,2950.9559999999997,0.06666666666666667,1,15,6.666666666666667
113,2006,3101.1133333333332,0.13333333333333333,2,15,13.333333333333334
113,2007,3663.448,0.4,6,15,40.0
113,2008,3976.8433333333332,0.6666666666666666,10,15,66.66666666666666
113,2009,3586.4033333333336,0.7333333333333333,11,15,73.33333333333333
113,2010,3665.646,0.06666666666666667,1,15,6.666666666666667
