date,year,state,area,area_million_ha
2020-01-01,2020,Sabah,3574468.0,3.574468
2020-01-01,2020,Sarawak,3964880.0,3.96488
2020-01-01,2020,Selangor,250208.0,0.250208
2020-01-01,2020,Terengganu,540309.0,0.540309
2020-01-01,2020,W.P. Kuala Lumpur,68.0,6.8e-05
2021-01-01,2021,Johor,334502.0,0.334502
2021-01-01,2021,Kedah,341976.0,0.341976
2021-01-01,2021,Kelantan,629881.0,0.629881
2021-01-01,2021,Melaka,5199.0,0.005199
2021-01-01,2021,Negeri Sembilan,155143.0,0.155143
2021-01-01,2021,Pahang,1588298.0,1.588298
2021-01-01,2021,Perak,986848.0,0.986848
2021-01-01,2021,Perlis,10629.0,0.010629
2021-01-01,2021,Pulau Pinang,5387.0,0.005387
2021-01-01,2021,Sabah,3574468.0,3.574468
2021-01-01,2021,Sarawak,3964880.0,3.96488
2021-01-01,2021,Selangor,250208.0,0.250208
2021-01-01,2021,Terengganu,540309.0,0.540309
2021-01-01,2021,W.P. Kuala Lumpur,68.0,6.8e-05
